Reference,Gene,Peptide,Measurement,Culture_Protein,25%,75%,Culture_mRNA ,s.e.m.,Sorted_Progenitor_mRNA,Sorted_Neutrophil_mRNA,neut_dev_mRNA,tp8mer,tp7m8,tp7A1,orf8mer,orf7m8,orf7A1,fp8mer,fp7m8,fp7A1
NM_023727,3322402l07rik,-,-,-,-,-,-0.365 ,0.191 ,0.118 ,-0.421 ,0.529 ,0,0,0,0,0,0,0,0,0
NM_011935,Esrrg,-,-,-,-,-,-0.063 ,0.121 ,-0.010 ,0.374 ,0.293 ,0,0,1,0,0,0,0,0,0
NM_027582,4921521f21rik,-,-,-,-,-,0.132 ,0.161 ,0.249 ,-0.095 ,-0.069 ,0,0,0,0,0,0,0,0,0
NM_001033135,Rnf149,-,-,-,-,-,0.006 ,0.061 ,-0.133 ,0.074 ,2.477 ,0,0,1,0,0,0,0,0,0
NM_010766,Marco,-,-,-,-,-,0.022 ,0.050 ,0.263 ,-0.123 ,-0.140 ,0,0,0,0,0,0,0,0,0
NM_008303,Hspe1,-,-,-,-,-,0.121 ,0.097 ,0.436 ,0.379 ,-3.480 ,1,0,0,0,0,0,0,0,0
NM_025303,Stau2,-,-,-,-,-,-0.033 ,0.193 ,-0.007 ,0.407 ,-1.460 ,0,0,0,0,0,0,0,0,0
NM_007799,Ctse,3,11,0.678 ,0.631 ,0.682 ,0.349 ,0.216 ,-0.463 ,0.042 ,1.133 ,0,0,0,0,1,0,0,0,0
NM_025439,Tmem9,-,-,-,-,-,0.048 ,0.086 ,-0.044 ,-0.392 ,-1.409 ,0,0,0,0,0,0,0,0,0
NM_021600,Chrnd,-,-,-,-,-,0.217 ,0.073 ,-0.138 ,0.078 ,0.407 ,0,0,0,0,0,0,0,0,0
NM_001111314,Ngef,-,-,-,-,-,-0.052 ,0.093 ,0.216 ,-0.046 ,0.211 ,0,0,0,0,1,0,0,0,0
NM_178401,Ramp1,-,-,-,-,-,0.111 ,0.135 ,0.197 ,-0.032 ,-0.173 ,0,0,1,0,0,0,0,0,0
NM_173378,Trp53bp2,-,-,-,-,-,0.095 ,0.050 ,0.166 ,-0.015 ,1.022 ,0,0,0,0,0,0,0,0,0
NM_016805,Hnrnpu,24,352,-0.003 ,-0.116 ,0.112 ,-0.157 ,0.096 ,0.304 ,-0.031 ,-1.189 ,0,0,0,0,0,0,0,0,0
NM_019999,Pnkd,-,-,-,-,-,0.033 ,0.080 ,-0.229 ,-0.388 ,-0.374 ,0,0,0,0,0,0,0,0,0
NM_133235,Khdrbs2,-,-,-,-,-,-0.013 ,0.056 ,0.249 ,0.211 ,0.181 ,0,0,0,0,0,0,0,0,0
NM_027300,Spata3,-,-,-,-,-,-0.136 ,0.130 ,0.044 ,-0.049 ,0.077 ,0,0,0,0,0,0,0,0,0
NM_001111311,Lrrfip1,10,47,0.028 ,-0.084 ,0.054 ,-0.227 ,0.041 ,0.134 ,0.075 ,1.041 ,0,0,0,0,0,1,0,0,0
NM_153530,Dis3l2,4,9,0.228 ,0.101 ,0.499 ,0.270 ,0.113 ,-0.073 ,0.442 ,-0.598 ,0,0,0,0,0,2,0,0,0
NM_009227,Snrpe,-,-,-,-,-,-0.018 ,0.013 ,-0.042 ,-0.087 ,-0.999 ,0,0,0,0,0,0,0,0,0
NM_178260,Kiss1,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_022312,Tnr,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_026041,Rrp15,-,-,-,-,-,-0.299 ,0.094 ,0.259 ,0.051 ,-3.892 ,0,0,0,0,0,0,0,0,0
NM_053199,Cadm3,-,-,-,-,-,-0.009 ,0.047 ,-0.058 ,-0.051 ,0.292 ,0,0,0,0,0,0,0,0,0
NM_025964,2310038h17rik,-,-,-,-,-,0.161 ,0.011 ,0.077 ,0.658 ,-1.360 ,0,0,0,0,0,0,0,0,0
NM_027534,Kdsr,-,-,-,-,-,-0.293 ,0.033 ,-0.137 ,0.074 ,-2.467 ,0,0,0,0,0,0,0,0,0
NM_012009,Sh2d1b1,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_001025575,Bc026782,-,-,-,-,-,0.029 ,0.038 ,-0.128 ,-0.443 ,-0.031 ,0,0,0,0,0,0,0,0,0
NM_008484,Lamb3,-,-,-,-,-,-0.025 ,0.105 ,-0.043 ,0.121 ,0.434 ,0,0,0,0,0,0,0,0,0
NM_028872,5730559c18rik,-,-,-,-,-,0.021 ,0.045 ,-0.088 ,-0.279 ,0.192 ,0,0,0,0,0,0,0,0,0
NM_146105,9630058j23rik,-,-,-,-,-,0.625 ,0.107 ,0.045 ,0.404 ,0.708 ,1,0,1,0,0,0,0,0,0
NM_011590,Timm17a,-,-,-,-,-,-0.208 ,0.067 ,0.340 ,0.269 ,-2.167 ,0,0,0,0,0,0,0,0,0
NM_001005423,Mreg,-,-,-,-,-,-0.464 ,0.098 ,-1.050 ,-0.965 ,0.246 ,0,0,0,0,0,0,0,0,0
NM_009460,Sumo1,2,6,-0.157 ,-0.164 ,0.004 ,-0.039 ,0.044 ,0.018 ,0.004 ,-0.443 ,0,0,0,0,0,0,0,0,0
NM_001102430,Arfgef1,28,84,0.036 ,-0.083 ,0.146 ,-0.178 ,0.020 ,-0.166 ,0.140 ,1.109 ,0,0,0,0,0,1,0,0,0
NM_010879,Nck2,-,-,-,-,-,-0.006 ,0.276 ,0.112 ,-0.036 ,-0.634 ,0,0,0,0,0,0,0,0,0
NM_007777,Cryge,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_213615,A530032d15rik,2,9,0.083 ,0.033 ,0.150 ,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_144881,Hhat,-,-,-,-,-,0.106 ,0.065 ,0.270 ,0.133 ,0.059 ,0,0,0,0,1,0,0,0,0
NM_207233,C1ql2,-,-,-,-,-,0.263 ,0.056 ,0.014 ,-0.251 ,0.346 ,0,0,0,0,0,0,0,0,0
NM_198652,6430706d22rik,-,-,-,-,-,-0.560 ,0.049 ,-0.413 ,-0.636 ,-0.304 ,0,0,0,0,0,0,0,0,0
NM_146250,Gpr1,-,-,-,-,-,0.022 ,0.137 ,-0.060 ,-0.167 ,-0.064 ,0,0,1,0,0,0,0,0,0
NM_009791,Aspm,-,-,-,-,-,-0.313 ,0.162 ,0.087 ,-0.051 ,-0.312 ,0,0,0,0,0,0,0,0,0
NM_207031,Tmem16g,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_144559,Fcgr4,2,4,0.507 ,0.414 ,0.735 ,0.565 ,0.125 ,-0.063 ,0.202 ,3.796 ,0,0,0,0,0,0,0,0,0
NM_175259,Tmem58,-,-,-,-,-,0.144 ,0.040 ,-0.150 ,-0.293 ,-0.110 ,0,0,0,0,0,0,0,0,0
NM_009063,Rgs5,-,-,-,-,-,-0.138 ,0.043 ,-0.234 ,-0.258 ,0.204 ,0,0,0,0,0,0,0,0,0
NM_027551,Klhl30,-,-,-,-,-,0.260 ,0.124 ,-0.018 ,-0.027 ,0.157 ,0,0,0,0,0,0,0,0,0
NM_025386,Fbxo36,-,-,-,-,-,0.176 ,0.069 ,-0.378 ,-0.278 ,-0.425 ,0,0,0,0,0,0,0,0,0
NM_001025378,Orc2l,-,-,-,-,-,-0.460 ,0.222 ,0.355 ,-0.081 ,-2.515 ,0,0,0,0,0,0,0,0,0
NM_011880,Rgs7,-,-,-,-,-,-0.152 ,0.211 ,-0.131 ,-0.445 ,0.027 ,0,0,0,0,0,0,0,0,0
NM_027971,Serpinb12,-,-,-,-,-,-0.114 ,0.026 ,-0.163 ,-0.078 ,-0.176 ,0,0,0,0,0,0,0,0,0
NM_008999,Rab23,-,-,-,-,-,0.638 ,0.052 ,-0.129 ,0.558 ,1.878 ,0,0,0,0,0,0,0,0,0
NM_011770,Ikzf2,-,-,-,-,-,-0.023 ,0.020 ,0.148 ,0.007 ,-0.041 ,0,0,0,0,0,0,0,0,0
NM_026719,Lmbrd1,1,4,-0.036 ,-0.137 ,-0.018 ,-0.014 ,0.045 ,-0.012 ,0.057 ,1.455 ,0,0,0,0,0,0,0,0,0
NM_016696,Gpc1,12,28,0.543 ,0.423 ,0.682 ,0.397 ,0.072 ,-0.125 ,0.240 ,0.679 ,0,0,0,0,0,1,0,0,0
NM_178052,Ddx59,-,-,-,-,-,0.096 ,0.102 ,0.099 ,0.167 ,-0.664 ,0,0,0,0,0,0,0,0,0
NM_007433,Akp5,-,-,-,-,-,0.086 ,0.136 ,0.031 ,-0.197 ,0.273 ,0,0,0,1,0,0,0,0,0
NM_173771,4933406m09rik,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_008651,Mybl1,-,-,-,-,-,-0.112 ,0.184 ,0.046 ,0.173 ,0.150 ,0,0,0,0,0,0,0,0,0
NM_172852,Serpinb13,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_145128,Mgat5,2,2,-0.120 ,-0.479 ,0.239 ,-0.264 ,0.084 ,0.074 ,-0.094 ,-0.270 ,0,0,0,0,0,0,0,0,0
NM_025557,Pcp4l1,-,-,-,-,-,0.709 ,0.117 ,-0.237 ,0.341 ,-0.354 ,0,0,0,0,0,0,0,0,0
NM_130890,Capn8,-,-,-,-,-,0.346 ,0.094 ,0.261 ,0.220 ,0.252 ,0,0,0,0,0,0,0,0,0
NM_146110,Aamp,1,2,0.321 ,0.321 ,0.321 ,0.118 ,0.020 ,0.108 ,0.052 ,-0.577 ,0,0,0,0,0,0,0,0,0
NM_145513,Tiprl,8,15,0.125 ,0.085 ,0.182 ,0.120 ,0.010 ,0.053 ,0.134 ,-0.286 ,0,0,0,0,0,0,0,0,0
NM_011804,Creg1,4,19,0.216 ,0.042 ,0.256 ,0.252 ,0.086 ,0.055 ,0.208 ,0.012 ,0,0,0,0,0,0,0,0,0
NM_027548,Serpinb7,-,-,-,-,-,0.011 ,0.028 ,0.025 ,0.015 ,0.111 ,0,0,0,0,0,0,0,0,0
NM_001033162,1700012a16rik,-,-,-,-,-,-0.122 ,0.279 ,-0.158 ,-0.019 ,0.152 ,0,0,0,0,0,0,0,0,0
NM_008801,Pde6d,4,8,0.348 ,0.328 ,0.585 ,0.571 ,0.024 ,-0.048 ,0.531 ,-0.020 ,0,0,1,0,0,0,0,0,0
NM_009579,Slc30a1,-,-,-,-,-,-0.393 ,0.149 ,0.179 ,-0.217 ,0.722 ,0,0,0,0,0,0,0,0,0
NM_001033292,Espnl,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_144794,Tmem63a,12,77,0.015 ,-0.141 ,0.164 ,0.073 ,0.018 ,-0.059 ,0.039 ,1.263 ,0,0,0,0,0,1,0,0,0
NM_001005508,Arhgap30,2,5,0.037 ,-0.013 ,0.263 ,-0.028 ,0.051 ,-0.066 ,-0.207 ,1.642 ,0,0,0,0,0,0,0,0,0
NM_033570,Cnnm4,-,-,-,-,-,-0.026 ,0.099 ,-0.068 ,0.023 ,0.425 ,0,0,0,0,0,1,0,0,0
