Protein IDs,Protein Names,Gene Names,Protein Descriptions,Uniprot,Uniprot Name,"Peptides 
sequenced",PEP,"miR-34 
seeds","miR-34a and ca
*strand seeds","miR-34c and ac
*strand seeds","Ratio H/M 
Count
miR-34a","Ratio H/M 
Count
miR-34a
Replicate1","Ratio H/M 
Count
miR-34a
Replicate2","Ratio H/M 
Count
miR-34c","Ratio H/M 
Count
miR-34c
Replicate1","Ratio H/M 
Count
miR-34ac","Ratio H/M 
Count
miR-34ca","Ratio H/M 
Normalized
miR-34a","Ratio H/M 
Normalized
miR-34a
Replicate1","Ratio H/M 
Normalized
miR-34a
Replicate2","Ratio H/M 
Normalized
miR-34c","Ratio H/M 
Normalized
miR-34c
Replicate1","Ratio H/M 
Normalized
miR-34ac","Ratio H/M 
Normalized
miR-34ca","Log2 Ratio H/M
Normalized
miR-34a","Log2 Ratio H/M
Normalized
miR-34a
Replicate1","Log2 Ratio H/M
Normalized
miR-34a
Replicate2","Log2 Ratio H/M
Normalized
miR-34c","Log2 Ratio H/M
Normalized
miR-34c
Replicate1","Log2 Ratio H/M
Normalized
miR-34ac","Log2 Ratio H/M
Normalized
miR-34ca"
IPI:IPI00000115.1;IPI:IPI00642014.1,Protein cornichon homolog 4;Putative uncharacterized protein CNIH4,CNIH4;HSPC163,Isoform 1 of Protein cornichon homolog 4;Putative uncharacterized protein CNIH4,Q9P003-1;Q9P003;B2R553;Q53HE6;A6NLH6,CNIH4_HUMAN;A6NLH6_HUMAN,1,2.90E-135,0,0,0,5,0,0,2,1,2,4,0.77875,NA,NA,0.4401,NA,0.93549,0.87339,0.360767837,NA,NA,1.184096723,NA,0.096205863,0.195302082
IPI:IPI00000138.1;IPI:IPI00179044.2,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase;N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase I;cDNA PSEC0120 fis, clone PLACE1002379, highly similar to Human alpha-1,3-mannosyl-glycoprotein beta-1, 2-N-acetylglucosaminyltransferase (MGAT) gene",MGAT1;GGNT1;GLCT1;GLYT1;MGAT,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase;cDNA PSEC0120 fis, clone PLACE1002379, highly similar to Human alpha-1,3-mannosyl-glycoprotein beta-1, 2-N-acetylglucosaminyltransferase (MGAT) gene",P26572;A8K404;B3KQ18;B3KQW5;B3KRU8;Q59G70;Q6IBE3;Q8NBL8,MGAT1_HUMAN;Q8NBL8_HUMAN,4,9.19E-07,1,0,0,0,3,0,1,0,0,0,NA,0.83345,NA,NA,NA,NA,NA,NA,0.262832443,NA,NA,NA,NA,NA
IPI:IPI00220726.1;IPI:IPI00305242.3;IPI:IPI00000149.1;IPI:IPI00220721.1;IPI:IPI00220722.1;IPI:IPI00220725.3;IPI:IPI00220723.1;IPI:IPI00220724.1;IPI:IPI00927317.1;IPI:IPI00927151.1;IPI:IPI00927011.1;IPI:IPI00925486.1;IPI:IPI00925770.1;IPI:IPI00927847.1,Caspase-8;ICE-like apoptotic protease 5;MORT1-associated CED-3 homolog;FADD-homologous ICE/CED-3-like protease;FADD-like ICE;Apoptotic cysteine protease;Apoptotic protease Mch-5;CAP4;Caspase-8 subunit p18;Caspase-8 subunit p10;Putative uncharacterized protein CASP8,CASP8;MCH5,Isoform 9 of Caspase-8;Isoform 4 of Caspase-8;Isoform 1 of Caspase-8;Isoform 2 of Caspase-8;Isoform 3 of Caspase-8;Putative uncharacterized protein CASP8;Isoform 5 of Caspase-8;Isoform 6 of Caspase-8;23 kDa protein,Q14790-9;Q14790;Q14790-4;Q14790-1;B5BU46;Q14790-2;Q14790-3;B6CGU5;A8MU92;Q6NVI2;Q14790-5;Q14790-6,CASP8_HUMAN;A8MU92_HUMAN,12,0,0,1,0,13,5,1,9,3,0,3,0.85632,0.88535,NA,0.84456,0.94461,NA,1.2062,0.223778074,0.175680195,NA,0.243728175,0.082209286,NA,-0.27046914
IPI:IPI00000155.6;IPI:IPI00647648.2;IPI:IPI00910934.1;IPI:IPI00647134.2;IPI:IPI00644210.2,Nuclear protein NP60;Nuclear protein of 60 kDa;3-hydroxyisobutyrate dehydrogenase-like protein;Cytokine-like nuclear factor N-PAC;cDNA FLJ57390,NP60;HIBDL,Isoform 1 of Nuclear protein NP60;Isoform 2 of Nuclear protein NP60;cDNA FLJ57390;Isoform 3 of Nuclear protein NP60;Isoform 4 of Nuclear protein NP60,Q49A26-1;Q49A26;Q49A26-2;B4DL47;Q49A26-3;Q49A26-4,NP60_HUMAN;B4DL47_HUMAN,16,0,1,0,0,14,3,1,4,0,3,3,0.76939,0.82863,NA,0.84827,NA,0.72567,0.83863,0.378213016,0.271200042,NA,0.237404555,NA,0.462614466,0.253893655
IPI:IPI00000162.5;IPI:IPI00410360.3;IPI:IPI00902438.2,Neuroguidin;EIF4E-binding protein,NGDN;C14orf120,Isoform 1 of Neuroguidin;Isoform 2 of Neuroguidin;36 kDa protein,Q8NEJ9-1;Q8NEJ9;A8K760;Q8NEJ9-2;A8MT00,NGDN_HUMAN,8,1.74E-237,0,0,0,8,0,2,9,4,1,2,1.0521,NA,1.162,1.1775,1.0121,NA,0.97591,-0.073271836,NA,-0.216610069,-0.23572706,-0.017351842,NA,0.035179989
IPI:IPI00101258.1;IPI:IPI00000181.2,"28S ribosomal protein S24, mitochondrial;MRP-S24;bMRP-47;Putative uncharacterized protein MRPS24",MRPS24;HSPC335,"28S ribosomal protein S24, mitochondrial;Putative uncharacterized protein MRPS24",Q96EL2;A4D1U9;A6NI76,RT24_HUMAN;A6NI76_HUMAN,6,1.85E-37,0,0,0,3,0,0,0,0,0,2,1.0748,NA,NA,NA,NA,NA,0.99582,-0.104068226,NA,NA,NA,NA,NA,0.006043104
IPI:IPI00657752.1;IPI:IPI00000190.1;IPI:IPI00555750.1,Putative uncharacterized protein CD81;CD81 antigen;26 kDa cell surface protein TAPA-1;Target of the antiproliferative antibody 1;Tetraspanin-28,CD81;TAPA1;TSPAN28,Putative uncharacterized protein CD81;CD81 antigen,A6NMH8;P60033,A6NMH8_HUMAN;CD81_HUMAN,5,2.62E-100,0,0,0,5,0,0,4,1,2,4,0.89464,NA,NA,0.8345,NA,1.0885,0.88625,0.160620831,NA,NA,0.261016045,NA,-0.122341408,0.174214373
IPI:IPI00000279.3;IPI:IPI00909823.1;IPI:IPI00926769.1;IPI:IPI00927837.1,Zinc finger CCCH domain-containing protein 15;DRG family-regulatory protein 1;Likely ortholog of mouse immediate early response erythropoietin 4,ZC3H15;DFRP1;LEREPO4;HSPC303;HT010;MSTP012;PP730,Similar to Zinc finger CCCH domain-containing protein 15,Q8WU90;B7Z592,ZC3HF_HUMAN,25,0,1,0,1,29,20,4,11,4,11,20,1.0063,1.1794,1.0224,0.95601,1.1323,1.0601,1.0758,-0.009060468,-0.238053099,-0.031959741,0.064902386,-0.179256247,-0.084200362,-0.105409894
IPI:IPI00844425.1;IPI:IPI00000296.2;IPI:IPI00935838.1;IPI:IPI00885184.1,Probable protein BRICK1,C3orf10;HSPC300;MDS027,Isoform 2 of Probable protein BRICK1;Isoform 1 of Probable protein BRICK1;similar to HSPC300,Q8WUW1-2;Q8WUW1;Q8WUW1-1;B2R5E2,BRK1_HUMAN,10,7.32E-111,0,0,0,3,0,0,3,7,1,6,0.85956,NA,NA,1.7302,0.90661,NA,1.0386,0.218329747,NA,NA,-0.790938814,0.141446021,NA,-0.054640131
IPI:IPI00000305.3;IPI:IPI00792270.1,Mediator of RNA polymerase II transcription subunit 11;Mediator complex subunit 11,MED11;HSPC296,Mediator of RNA polymerase II transcription subunit 11;9 kDa protein,Q9P086,MED11_HUMAN,7,1.26E-38,0,1,0,3,0,0,0,1,0,1,0.72973,NA,NA,NA,NA,NA,NA,0.454565329,NA,NA,NA,NA,NA,NA
IPI:IPI00000335.1,Histidine triad nucleotide-binding protein 2;HINT-3;HIT-17kDa;PKCI-1-related HIT protein,HINT2,Histidine triad nucleotide-binding protein 2,Q9BX68;Q53HJ8;Q5TCW3;Q8WYJ5,HINT2_HUMAN,7,0,0,0,0,14,0,3,5,4,10,10,1.0248,NA,0.95593,1.4454,1.0879,0.92187,1.0711,-0.035342381,NA,0.065023117,-0.531468799,-0.12154595,0.117364775,-0.099093179
IPI:IPI00000398.2;IPI:IPI00020484.4;IPI:IPI00793551.1;IPI:IPI00789679.1;IPI:IPI00855788.1;IPI:IPI00900282.1;IPI:IPI00908380.1,"Nucleolar and spindle-associated protein 1;cDNA FLJ54110, highly similar to Homo sapiens nucleolar and spindle associated protein 1 (NUSAP1), transcript variant 2, mRNA",NUSAP1;ANKT;BM-037;PRO0310,Isoform 1 of Nucleolar and spindle-associated protein 1;Isoform 2 of Nucleolar and spindle-associated protein 1;Isoform 5 of Nucleolar and spindle-associated protein 1;Isoform 3 of Nucleolar and spindle-associated protein 1;Isoform 4 of Nucleolar and spind,Q9BXS6-1;Q9BXS6;A8K4B4;Q9BXS6-2;Q9BXS6-5;Q9BXS6-3;Q9BXS6-4;B4DDF1,NUSAP_HUMAN;B4DDF1_HUMAN,6,2.24E-21,0,2,0,4,0,1,0,0,0,2,1.6468,NA,NA,NA,NA,NA,1.3475,-0.719665354,NA,NA,NA,NA,NA,-0.430285273
IPI:IPI00000425.2;IPI:IPI00152221.2;IPI:IPI00795987.1,V-type proton ATPase 116 kDa subunit a isoform 2;Vacuolar proton translocating ATPase 116 kDa subunit a isoform 2;Lysosomal H(+)-transporting ATPase V0 subunit a2;TJ6,ATP6V0A2,V-type proton ATPase 116 kDa subunit a isoform 2,Q9Y487;B4DQF7,VPP2_HUMAN,11,1.06E-47,1,3,5,2,0,1,3,0,0,1,0.4032,NA,NA,1.2746,NA,NA,NA,1.310432456,NA,NA,-0.350044566,NA,NA,NA
IPI:IPI00867739.3;IPI:IPI00000455.7;IPI:IPI00929684.1;IPI:IPI00941077.1;IPI:IPI00852815.1;IPI:IPI00657857.1,"cDNA FLJ60533, highly similar to Kinesin-like protein KIF3A;Kinesin-like protein KIF3A;Microtubule plus end-directed kinesin motor 3A;KIF3A protein",KIF3A;KIF3,"cDNA FLJ60533, highly similar to Kinesin-like protein KIF3A;Kinesin-like protein KIF3A;Similar to Kinesin family member 3A;KIF3A protein (Fragment)",B4DHG8;Q2UVF2;Q9Y496;Q8IWH8;Q05CT3,B4DHG8_HUMAN;KIF3A_HUMAN;Q05CT3_HUMAN,9,1.45E-131,0,1,0,3,0,1,1,0,0,1,0.51954,NA,NA,NA,NA,NA,NA,0.944693267,NA,NA,NA,NA,NA,NA
IPI:IPI00000494.6,60S ribosomal protein L5,RPL5;MSTP030,60S ribosomal protein L5,P46777;A2RUM7;B3KTM6;Q59GX9;Q8WYP1;Q9BUV4,RL5_HUMAN,53,0,0,0,0,102,114,76,45,71,208,244,0.9479,1.0305,1.089,1.0086,1.0513,1.0353,0.99407,0.077193227,-0.043344505,-0.123003954,-0.01235413,-0.072174417,-0.05004888,0.008580648
IPI:IPI00513945.2;IPI:IPI00000579.2,Novel protein;Transmembrane and coiled-coil domain-containing protein C6orf129,RP1-153P14.2-002;C6orf129;HSPC265,Novel protein;Transmembrane and coiled-coil domain-containing protein C6orf129,Q5T7F6;Q9P0B6,Q5T7F6_HUMAN;CF129_HUMAN,2,1.69E-50,0,1,0,3,0,0,1,1,0,1,0.71617,NA,NA,NA,NA,NA,NA,0.481626009,NA,NA,NA,NA,NA,NA
IPI:IPI00514593.1;IPI:IPI00000606.5,"Tetratricopeptide repeat domain 4;Tetratricopeptide repeat domain 4, isoform CRA_a;Tetratricopeptide repeat protein 4",TTC4;RP5-1043G4.2-002;hCG_32473;My044,"Tetratricopeptide repeat domain 4, isoform CRA_a;Tetratricopeptide repeat protein 4",Q5TA95;O95801,Q5TA95_HUMAN;TTC4_HUMAN,10,7.49E-131,0,1,0,10,8,3,1,5,0,1,0.91792,1.1201,1.0455,NA,1.3993,NA,NA,0.123559672,-0.163627539,-0.064193062,NA,-0.484705299,NA,NA
IPI:IPI00385141.1;IPI:IPI00000612.1;IPI:IPI00922917.1,"IFNRC;Transmembrane protein 50A;Small membrane protein 1;cDNA FLJ51959, highly similar to Transmembrane protein 50A",TMEM50A;SMP1;UNQ386/PRO718,"IFNRC;Transmembrane protein 50A;cDNA FLJ51959, highly similar to Transmembrane protein 50A",Q7Z509;O95807;B2R6I5;Q7RU07;B7Z5M7,Q7Z509_HUMAN;TM50A_HUMAN;B7Z5M7_HUMAN,3,4.42E-36,0,0,1,8,5,3,1,1,0,0,0.8738,1.3512,1.1119,NA,NA,NA,NA,0.194624989,-0.434241233,-0.153027043,NA,NA,NA,NA
IPI:IPI00000643.1;IPI:IPI00657974.1,BAG family molecular chaperone regulator 2;Bcl-2-associated athanogene 2,BAG2,BAG family molecular chaperone regulator 2,O95816;B3KM36;B3KN59;B4DXE2,BAG2_HUMAN,22,0,0,0,1,28,8,5,19,15,32,42,0.81337,0.79006,0.77325,1.1638,1.0983,0.87582,0.87053,0.298016315,0.339965874,0.370993167,-0.218843151,-0.135272179,0.1912937,0.200034078
IPI:IPI00000656.2;IPI:IPI00935784.2;IPI:IPI00843937.1;IPI:IPI00790071.1,Uncharacterized protein KIAA0892;R29828_1,KIAA0892,Isoform 1 of Cohesin loading complex subunit SCC4 homolog;R29828_1 (Fragment),Q9Y6X3-1;Q9Y6X3;Q9Y4B3,K0892_HUMAN;Q9Y4B3_HUMAN,9,1.61E-74,2,3,0,7,1,0,1,0,2,1,1.1545,NA,NA,NA,NA,1.0217,NA,-0.207268173,NA,NA,NA,NA,-0.030971642,NA
IPI:IPI00000684.4;IPI:IPI00607787.1;IPI:IPI00217816.3;IPI:IPI00646967.1,UDP-N-acetylhexosamine pyrophosphorylase;Antigen X;Sperm-associated antigen 2;UDP-N-acetylgalactosamine pyrophosphorylase;AGX-1;UDP-N-acetylglucosamine pyrophosphorylase;AGX-2;UDP-N-acteylglucosamine pyrophosphorylase 1,UAP1;SPAG2;RP11-359K18.2-006,Isoform AGX2 of UDP-N-acetylhexosamine pyrophosphorylase;Isoform 3 of UDP-N-acetylhexosamine pyrophosphorylase;Isoform AGX1 of UDP-N-acetylhexosamine pyrophosphorylase;UDP-N-acteylglucosamine pyrophosphorylase 1,Q16222-1;Q16222;Q16222-3;Q16222-2;B2R6R8;B1AR80,UAP1_HUMAN;B1AR80_HUMAN,26,0,0,0,0,63,26,6,27,4,16,22,0.97948,1.1881,1.291,1.3523,1.4318,1.1985,1.0539,0.02991206,-0.24865627,-0.368489001,-0.435415241,-0.517829985,-0.261229909,-0.075737982
IPI:IPI00000685.1,Cell division protein kinase 7;CDK-activating kinase;CAK1;TFIIH basal transcription factor complex kinase subunit;39 kDa protein kinase;P39 Mo15;STK1,CDK7;MO15,Cell division protein kinase 7,P50613,CDK7_HUMAN,10,9.13E-120,0,0,0,11,1,1,7,2,1,2,0.71455,NA,NA,0.86892,0.8682,NA,0.71643,0.484893129,NA,NA,0.202704738,0.203900672,NA,0.481102344
IPI:IPI00000686.2;IPI:IPI00796936.1;IPI:IPI00789814.1;IPI:IPI00788256.2,Probable RNA-binding protein 19;RNA-binding motif protein 19,RBM19;KIAA0682,Probable RNA-binding protein 19,Q9Y4C8;A8K5X9,RBM19_HUMAN,14,1.43E-169,0,0,0,1,2,0,0,3,1,0,NA,0.83933,NA,NA,0.63569,NA,NA,NA,0.252689947,NA,NA,0.653604701,NA,NA
IPI:IPI00000690.1;IPI:IPI00157908.4;IPI:IPI00910786.1;IPI:IPI00300018.1;IPI:IPI00910617.1,"Apoptosis-inducing factor 1, mitochondrial;Programmed cell death protein 8;Apoptosis-inducing factor short isoform 3",AIFM1;AIF;PDCD8,"Isoform 1 of Apoptosis-inducing factor 1, mitochondrial;Isoform 3 of Apoptosis-inducing factor 1, mitochondrial;programmed cell death 8 isoform 5;Isoform 2 of Apoptosis-inducing factor 1, mitochondrial",O95831-1;O95831;A4QPB4;O95831-3;Q5RZ99;Q5RZA0;Q1L6K4;Q1L6K6;O95831-2;B1ALN1,AIFM1_HUMAN;Q1L6K4_HUMAN,42,0,0,0,0,65,49,23,31,13,38,40,1.03,0.92618,0.9627,1.0488,0.99251,0.87887,0.92019,-0.042644337,0.110635491,0.054841805,-0.068739591,0.010846457,0.186278313,0.119996317
IPI:IPI00000691.1;IPI:IPI00789066.1,Claudin-1;Senescence-associated epithelial membrane protein,CLDN1;CLD1;SEMP1;UNQ481/PRO944,Claudin-1;8 kDa protein,O95832;A5JSJ9;B4DLC3;Q7Z4X9,CLD1_HUMAN,2,5.81E-161,1,0,0,3,0,0,2,0,1,1,0.62436,NA,NA,0.67415,NA,NA,NA,0.679549982,NA,NA,0.568858465,NA,NA,NA
IPI:IPI00000692.2;IPI:IPI00644062.1,Chloride intracellular channel protein 3;Chloride intracellular channel 3,CLIC3;RP11-229P13.3-003,Chloride intracellular channel protein 3;Chloride intracellular channel 3,O95833;Q6FGP1;Q5SQ17,CLIC3_HUMAN;Q5SQ17_HUMAN,12,7.89E-241,0,0,0,15,0,0,11,5,0,0,1.4431,NA,NA,2.2078,1.5448,NA,NA,-0.529171275,NA,NA,-1.142609487,-0.627420069,NA,NA
IPI:IPI00000728.3;IPI:IPI00219505.2;IPI:IPI00219504.1;IPI:IPI00165116.2;IPI:IPI00796350.2,Ubiquitin carboxyl-terminal hydrolase 15;Ubiquitin thioesterase 15;Ubiquitin-specific-processing protease 15;Deubiquitinating enzyme 15;Unph-2;Unph4,USP15;KIAA0529,Isoform 1 of Ubiquitin carboxyl-terminal hydrolase 15;Isoform 3 of Ubiquitin carboxyl-terminal hydrolase 15;Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 15,Q9Y4E8-1;Q9Y4E8;Q08AL5;Q9Y4E8-3;Q9Y4E8-2;Q2NL66,UBP15_HUMAN,37,0,2,2,0,21,14,9,27,3,12,14,0.949,0.8456,0.9195,0.90514,0.78822,0.9085,0.9874,0.075520008,0.241952718,0.12107852,0.143787141,0.343329739,0.13844158,0.01829345
IPI:IPI00000733.4,U3 small nucleolar RNA-associated protein 18 homolog;WD repeat-containing protein 50,UTP18;WDR50;CDABP0061;CGI-48,U3 small nucleolar RNA-associated protein 18 homolog,Q9Y5J1;B2RAX6,UTP18_HUMAN,17,0,0,0,0,8,0,1,2,1,0,1,0.77618,NA,NA,0.89386,NA,NA,NA,0.365536836,NA,NA,0.161879207,NA,NA,NA
IPI:IPI00000760.1;IPI:IPI00647695.3;IPI:IPI00797462.1;IPI:IPI00645821.2;IPI:IPI00646524.2,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2;DDAHII;Dimethylargininase-2;S-phase protein;Protein G6a;Dimethylarginine dimethylaminohydrolase 2",DDAH2;DDAH;G6A;NG30;DADB-110M10.5-010;DAMA-236L13.14-010;DAMC-117B11.9-010;DAQB-350E15.2-010;DASS-312M4.7-010;XXbac-BCX88C14.2-010;XXbac-BPG32J3.8-010;DADB-110M10.5-007;DAMA-236L13.14-007;DAMC-117B11.9-007;DAQB-350E15.2-007;DASS-312M4.7-007;XXbac-BCX88C14.2-007;XXbac-BPG32J3.8-007;DADB-110M10.5-008;DAMA-236L13.14-008;DAMC-117B11.9-008;DASS-312M4.7-008;XXbac-BCX88C14.2-008;XXbac-BPG32J3.8-008;DAQB-350E15.2-008,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2;Dimethylarginine dimethylaminohydrolase 2;Dimethylarginine dimethylaminohydrolase 2;Dimethylarginine dimethylaminohydrolase 2;Dimethylarginine dimethylaminohydrolase 2",O95865;A2ABS5;Q5SRR8;Q5SSV3;A3KGN5,DDAH2_HUMAN;A2ABS5_HUMAN;Q5SRR8_HUMAN;Q5SSV3_HUMAN;A3KGN5_HUMAN,16,0,0,0,0,10,15,4,13,5,0,0,1.3392,0.89534,0.88489,1.4634,0.98617,NA,NA,-0.421371433,0.159492454,0.176429969,-0.549324164,0.020091729,NA,NA
